,label
0,1
1,2
2,2
3,1
4,2
5,1
6,3
7,4
8,2
9,1
10,2
11,4
12,1
13,2
14,4
15,2
16,4
17,1
18,2
19,4
20,4
21,1
22,1
23,2
24,2
25,2
26,1
27,1
28,2
29,1
30,2
31,4
32,2
33,2
34,1
35,1
36,1
37,1
38,3
39,4
40,1
41,2
42,4
43,4
44,2
45,4
46,2
47,1
48,3
49,2
50,4
51,1
52,3
53,3
54,1
55,2
56,3
57,4
58,2
59,2
60,2
61,2
62,2
63,2
64,2
65,2
66,1
67,2
68,1
69,2
70,2
71,1
72,4
73,2
74,3
75,3
76,2
77,2
78,2
79,2
80,1
81,2
82,2
83,3
84,1
85,2
86,2
87,4
88,1
89,2
90,4
91,1
92,2
93,2
94,2
95,1
96,1
97,2
98,1
99,1
100,3
101,3
102,1
103,2
104,2
105,2
106,1
107,4
108,4
109,2
110,4
111,1
112,1
113,2
114,1
115,4
116,4
117,1
118,2
119,3
120,1
121,2
122,1
123,2
124,2
125,2
126,1
127,1
128,1
129,4
130,1
131,1
132,2
133,2
134,1
135,2
136,4
137,1
138,4
139,1
140,1
141,1
142,2
143,4
144,2
145,1
146,1
147,4
148,2
149,3
150,3
151,1
152,4
153,1
154,4
155,4
156,4
157,1
158,3
159,4
160,2
161,2
162,1
163,2
164,2
165,2
166,1
167,1
168,2
169,2
170,2
171,4
172,1
173,2
174,2
175,3
176,1
177,2
178,1
179,1
180,4
181,1
182,2
183,1
184,1
185,3
186,1
187,4
188,1
189,2
190,4
191,2
192,2
193,3
194,1
195,4
196,3
197,2
198,1
199,2
200,2
201,1
202,1
203,2
204,2
205,2
206,1
207,2
208,2
209,2
210,4
211,4
212,1
213,1
214,1
215,1
216,3
217,2
218,1
219,2
220,2
221,2
222,2
223,3
224,2
225,1
226,2
227,1
228,3
229,2
230,1
231,1
232,2
233,2
234,1
235,1
236,2
237,4
238,1
239,1
240,1
241,1
242,1
243,2
244,1
245,1
246,2
247,1
248,2
249,2
250,2
251,1
252,2
253,1
254,1
255,1
256,2
257,2
258,2
259,2
260,2
261,1
262,2
263,3
264,2
265,2
266,2
267,2
268,4
269,2
270,1
271,2
272,2
273,2
274,2
275,2
276,2
277,1
278,1
279,4
280,1
281,4
282,3
283,1
284,3
285,1
286,3
287,3
288,1
289,3
290,3
291,4
292,2
293,2
294,3
295,2
296,2
297,2
298,2
299,1
300,2
301,2
302,3
303,3
304,1
305,2
306,1
307,2
308,3
309,3
310,4
311,2
312,2
313,3
314,2
315,3
316,2
317,3
318,2
319,4
320,4
321,1
322,2
323,2
324,3
